STATION,DATE,TMAX,TMIN
GHCND:USW00094728,20130101,44,-33
GHCND:USW00094728,20130102,6,-56
GHCND:USW00094728,20130103,0,-44
GHCND:USW00094728,20130104,28,-11
GHCND:USW00094728,20130105,56,0
GHCND:USW00094728,20130106,78,11
GHCND:USW00094728,20130107,72,28
GHCND:USW00094728,20130108,89,17
GHCND:USW00094728,20130109,94,39
GHCND:USW00094728,20130110,83,44
GHCND:USW00094728,20130111,78,28
GHCND:USW00094728,20130112,83,56
GHCND:USW00094728,20130113,100,61
GHCND:USW00094728,20130114,133,33
GHCND:USW00094728,20130115,33,17
GHCND:USW00094728,20130116,28,0
GHCND:USW00094728,20130117,61,17
GHCND:USW00094728,20130118,17,-39
GHCND:USW00094728,20130119,106,-11
GHCND:USW00094728,20130120,117,-11
GHCND:USW00094728,20130121,0,-33
GHCND:USW00094728,20130122,-28,-106
GHCND:USW00094728,20130123,-67,-117
GHCND:USW00094728,20130124,-56,-111
GHCND:USW00094728,20130125,-44,-106
GHCND:USW00094728,20130126,-28,-94
GHCND:USW00094728,20130127,11,-72
GHCND:USW00094728,20130128,22,-17
GHCND:USW00094728,20130129,94,22
GHCND:USW00094728,20130130,150,39
GHCND:USW00094728,20130131,161,-11
GHCND:USW00094728,20130201,-6,-44
GHCND:USW00094728,20130202,-17,-72
GHCND:USW00094728,20130203,-11,-44
GHCND:USW00094728,20130204,-11,-50
GHCND:USW00094728,20130205,0,-22
GHCND:USW00094728,20130206,39,-17
GHCND:USW00094728,20130207,0,-33
GHCND:USW00094728,20130208,11,-28
GHCND:USW00094728,20130209,0,-61
GHCND:USW00094728,20130210,22,-78
GHCND:USW00094728,20130211,72,11
GHCND:USW00094728,20130212,67,22
GHCND:USW00094728,20130213,67,6
GHCND:USW00094728,20130214,78,6
GHCND:USW00094728,20130215,128,28
GHCND:USW00094728,20130216,50,-6
GHCND:USW00094728,20130217,0,-78
GHCND:USW00094728,20130218,17,-83
GHCND:USW00094728,20130219,94,6
GHCND:USW00094728,20130220,33,-39
GHCND:USW00094728,20130221,11,-44
GHCND:USW00094728,20130222,33,-39
GHCND:USW00094728,20130223,56,22
GHCND:USW00094728,20130224,83,11
GHCND:USW00094728,20130225,72,0
GHCND:USW00094728,20130226,67,17
GHCND:USW00094728,20130227,83,22
GHCND:USW00094728,20130228,106,39
GHCND:USW00094728,20130301,72,22
GHCND:USW00094728,20130302,44,-6
GHCND:USW00094728,20130303,44,-17
GHCND:USW00094728,20130304,56,-28
GHCND:USW00094728,20130305,94,-6
GHCND:USW00094728,20130306,56,33
GHCND:USW00094728,20130307,33,6
GHCND:USW00094728,20130308,56,-6
GHCND:USW00094728,20130309,128,17
GHCND:USW00094728,20130310,100,22
GHCND:USW00094728,20130311,122,44
GHCND:USW00094728,20130312,139,61
GHCND:USW00094728,20130313,111,33
GHCND:USW00094728,20130314,50,-17
GHCND:USW00094728,20130315,83,-11
