Estación: Barrio del Pilar;;;;
Fecha;Hora;CO;NO2;O3
;;mg/m³;µg/m³;µg/m³
22/03/2016;01:00;0.2;14;73
22/03/2016;02:00;0.2;10;77
22/03/2016;03:00;0.2;9;75
22/03/2016;04:00;0.2;3;81
22/03/2016;05:00;0.2;3;81
22/03/2016;06:00;0.2;6;79
22/03/2016;07:00;0.2;24;59
22/03/2016;08:00;0.3;48;37
22/03/2016;09:00;0.3;40;43
22/03/2016;10:00;0.3;41;44
22/03/2016;11:00;0.3;20;68
22/03/2016;12:00;0.3;17;74
22/03/2016;13:00;0.2;14;84
22/03/2016;14:00;0.3;16;88
22/03/2016;15:00;0.3;15;94
22/03/2016;16:00;0.4;29;81
22/03/2016;17:00;0.3;23;82
22/03/2016;18:00;0.3;26;81
22/03/2016;19:00;0.3;30;75
22/03/2016;20:00;0.4;57;39
22/03/2016;21:00;0.4;73;17
22/03/2016;22:00;0.4;51;42
22/03/2016;23:00;0.4;72;16
22/03/2016;24:00;0.4;61;28
23/03/2016;01:00;0.3;25;62
23/03/2016;02:00;0.3;21;64
23/03/2016;03:00;0.3;40;39
23/03/2016;04:00;0.4;52;19
23/03/2016;05:00;0.4;47;8
23/03/2016;06:00;0.4;42;8
23/03/2016;07:00;0.5;68;8
23/03/2016;08:00;0.6;71;9
23/03/2016;09:00;0.9;76;10
23/03/2016;10:00;0.7;63;29
23/03/2016;11:00;0.3;27;66
23/03/2016;12:00;0.3;13;88
23/03/2016;13:00;0.2;10;92
23/03/2016;14:00;0.3;10;98
23/03/2016;15:00;0.3;11;99
23/03/2016;16:00;0.3;12;99
23/03/2016;17:00;0.2;11;98
23/03/2016;18:00;0.2;8;101
23/03/2016;19:00;0.2;13;92
23/03/2016;20:00;0.2;23;79
23/03/2016;21:00;0.5;40;56
23/03/2016;22:00;0.6;49;43
23/03/2016;23:00;0.5;66;25
23/03/2016;24:00;0.4;47;44
24/03/2016;01:00;0.3;18;76
24/03/2016;02:00;0.3;25;64
24/03/2016;03:00;0.3;16;77
24/03/2016;04:00;0.3;16;59
24/03/2016;05:00;0.3;34;31
24/03/2016;06:00;0.3;27;33
24/03/2016;07:00;0.3;44;17
24/03/2016;08:00;0.4;45;9
24/03/2016;09:00;0.5;52;22
24/03/2016;10:00;0.4;37;53
24/03/2016;11:00;0.3;21;73
24/03/2016;12:00;0.3;20;76
24/03/2016;13:00;0.3;24;76
24/03/2016;14:00;0.4;38;71
24/03/2016;15:00;0.3;32;78
24/03/2016;16:00;0.3;21;89
